SHP,GW,G,GP,Shift,Team,Pos,P,S,TOI,A,SHG,SPerc,FO,PPG,PIM,Player,PPP,Fantasy,PlusMin,OT
3,4,14,78,23.6,NYI,C,43,157,16:34,29,1,8.9,48.2,4,12,Frans Nielsen,18,0,8,0
0,0,13,77,20.8,FLA,L,52,167,16:45,39,0,7.8,14.3,0,34,Jonathan Huberdeau,12,0,8,0
0,1,12,75,22.3,VAN,L,35,167,15:45,23,0,7.2,33.3,3,16,Chris Higgins,4,0,8,0
0,0,4,59,28.7,WPG,D,23,58,23:36,19,0,6.9,0,1,34,Toby Enstrom,7,0,8,0
0,0,3,66,25.6,MTL,D,14,42,19:47,11,0,7.1,0,0,53,Alexei Emelin,0,0,8,0
0,3,3,49,26.1,PIT,D,14,110,21:45,11,0,2.7,0,0,26,Christian Ehrhoff,2,0,8,0
0,0,3,23,14.7,MIN,C,7,47,10:52,4,0,6.4,0,0,2,Jordan Schroeder,0,0,8,0
0,0,0,72,21.4,OTT,D,11,63,15:39,11,0,0,0,0,97,Eric Gryba,0,0,8,0
1,6,24,78,26.6,WPG,L,61,210,20:02,37,0,11.4,35,9,72,Andrew Ladd,18,0,9,1
0,1,20,78,22.9,MTL,C,46,160,16:25,26,0,12.5,47.1,3,37,Alex Galchenyuk,12,0,9,0
0,1,20,70,23,NYR,R,48,133,17:33,28,0,15,46.4,5,18,Martin St. Louis,13,0,9,0
0,2,18,77,19.2,LAK,R,40,164,15:44,22,0,11,50,4,29,Justin Williams,13,0,9,0
0,3,17,78,21.6,MIN,R,52,238,18:20,35,0,7.1,45.3,3,8,Jason Pominville,14,0,9,0
0,0,13,78,21,BOS,R,40,137,15:27,27,0,9.5,25,1,20,Reilly Smith,11,0,9,0
0,1,9,69,16,ANA,C,31,102,12:33,22,0,8.8,46.9,2,10,Rickard Rakell,9,0,9,0
0,0,8,55,24.4,NSH,D,25,111,19:03,17,0,7.2,0,1,27,Ryan Ellis,5,0,9,0
0,1,7,31,18.2,CBJ,C,18,73,13:13,11,0,9.6,41.4,0,12,Marko Dano,0,0,9,0
0,0,5,65,25.2,PHI,D,13,41,17:42,8,0,12.2,0,0,28,Nicklas Grossmann,0,0,9,0
2,0,3,65,25.2,CBJ,D,15,55,19:51,12,0,5.5,0,0,40,Fedor Tyutin,1,0,9,0
1,1,2,74,31.1,MIN,D,37,145,29:02:00,35,0,1.4,0,1,46,Ryan Suter,11,0,9,0
0,0,1,68,27.4,SJS,D,23,92,21:05,22,0,1.1,0,0,48,Justin Braun,2,0,9,0
0,5,27,61,22.9,CHI,R,64,186,19:51,37,0,14.5,42.8,6,10,Patrick Kane,22,0,10,0
0,4,24,61,24.2,DET,C,61,159,19:01,37,0,15.1,53.5,8,8,Pavel Datsyuk,24,0,10,1
0,4,24,75,21.1,TBL,R,54,188,17:43,30,0,12.8,48.4,10,41,Ryan Callahan,16,0,10,0
4,5,24,80,26.9,MTL,C,58,238,19:05,34,3,10.1,50.1,6,46,Tomas Plekanec,15,0,10,0
0,4,23,79,21.1,NSH,C,42,243,15:46,19,0,9.5,40,6,44,Craig Smith,8,0,10,1
0,6,23,73,18.6,NYI,C,39,184,14:15,16,0,12.5,100,5,33,Anders Lee,6,0,10,0
0,0,18,79,23.9,VAN,C,68,100,18:39,50,0,18,45.1,5,22,Henrik Sedin,24,0,10,0
1,4,16,77,21.9,CGY,C,34,103,14:05,18,0,15.5,39.2,0,54,Lance Bouma,1,0,10,0
0,3,13,79,20.8,BOS,C,44,159,16:48,31,0,8.2,48.7,5,26,Carl Soderberg,8,0,10,0
0,3,13,76,19.5,FLA,R,36,149,15:42,23,0,8.7,55.6,5,16,Brad Boyes,9,0,10,1
1,2,11,80,28.7,WSH,D,53,188,23:07,42,1,5.9,0,3,28,John Carlson,15,0,10,0
1,1,11,43,25.5,CBJ,C,31,94,18:10,20,1,11.7,50.8,0,39,Brandon Dubinsky,6,0,10,0
0,1,11,78,16.9,WSH,C,36,124,13:14,25,0,8.9,44.9,4,24,Evgeny Kuznetsov,13,0,10,1
0,1,7,71,30.6,VAN,D,24,171,24:01:00,17,0,4.1,0,5,54,Alexander Edler,12,0,10,0
0,1,7,59,18.8,NSH,C,24,86,12:59,17,0,8.1,55.5,0,16,Matt Cullen,4,0,10,0
0,0,7,48,17.3,FLA,C,22,88,14:01,15,0,8,48.5,1,24,Vincent Trocheck,1,0,10,0
0,1,6,52,27.2,LAK,D,21,92,19:58,15,0,6.5,0,1,8,Alec Martinez,4,0,10,0
0,0,4,72,25.1,MTL,D,12,70,19:20,8,0,5.7,0,0,30,Tom Gilbert,0,0,10,0
1,0,3,70,28.3,DET,D,18,89,19:28,15,0,3.4,0,0,75,Kyle Quincey,0,0,10,0
1,0,3,63,27.3,LAK,D,13,59,20:18,10,0,5.1,0,0,43,Robyn Regehr,0,0,10,0
0,0,3,53,23.3,VAN,D,11,59,15:56,8,0,5.1,0,0,33,Ryan Stanton,0,0,10,0
0,0,1,67,21.6,LAK,D,23,69,15:46,22,0,1.4,100,0,47,Brayden McNabb,5,0,10,0
0,0,0,72,21.7,TBL,D,13,55,17:42,13,0,0,0,0,34,Andrej Sustr,1,0,10,0
0,11,52,79,22.4,WSH,L,80,389,20:21,28,0,13.4,40,24,56,Alex Ovechkin,33,0,11,0
2,3,21,80,22.4,WSH,R,41,139,17:31,20,2,15.1,57,8,53,Troy Brouwer,14,0,11,0
0,3,18,76,23.7,NYR,C,59,159,17:26,41,0,11.3,48.6,5,34,Derick Brassard,17,0,11,2
0,4,12,79,24.3,FLA,D,37,163,21:48,25,0,7.4,0,6,32,Aaron Ekblad,11,0,11,0
1,2,9,69,18.3,LAK,C,25,136,14:08,16,1,6.6,42.8,0,10,Trevor Lewis,0,0,11,0
2,1,9,65,20,OTT,R,23,99,14:21,14,1,9.1,22.2,0,28,Erik Condra,0,0,11,0
1,1,8,69,25.3,NYI,D,34,180,21:34,26,0,4.4,100,5,12,Johnny Boychuk,15,0,11,1
0,1,8,65,19.3,,L,26,128,14:41,18,0,6.3,28.6,0,10,Tomas Fleischmann,1,0,11,0
0,0,4,57,25,TBL,D,17,71,20:29,13,0,5.6,0,1,26,Matthew Carle,1,0,11,0
0,1,2,77,30.6,DET,D,30,84,20:58,28,0,2.4,0,0,38,Danny DeKeyser,6,0,11,0
0,5,37,79,27,SJS,C,69,249,20:10,32,0,14.9,55.6,19,27,Joe Pavelski,30,0,12,0
0,3,30,75,24.8,CBJ,L,70,171,18:54,40,0,17.5,47.6,11,46,Nick Foligno,26,0,12,1
0,4,11,78,19.2,MIN,C,35,118,14:40,24,0,9.3,46,1,37,Charlie Coyle,3,0,12,0
1,1,11,69,28.2,PIT,D,54,197,25:29:00,43,1,5.6,0,2,79,Kris Letang,24,0,12,0
0,2,10,57,26,TBL,D,37,113,22:36,27,0,8.8,0,3,40,Victor Hedman,10,0,12,1
0,3,9,70,27.7,SJS,D,23,98,22:06,14,0,9.2,0,0,23,Marc-Edouard Vlasic,3,0,12,1
0,2,9,51,16.6,WSH,L,22,63,12:56,13,0,14.3,44,2,10,Andre Burakovsky,3,0,12,0
0,0,5,71,21.5,,D,16,81,15:36,11,0,6.2,0,0,51,Ian Cole,1,0,12,0
1,1,3,78,30.2,NYR,D,19,104,22:46,16,0,2.9,0,1,20,Dan Girardi,3,0,12,0
0,0,1,60,22.1,OTT,D,10,29,15:56,9,0,3.4,0,0,105,Mark Borowiecki,0,0,12,0
0,4,29,76,25.6,CGY,C,72,150,17:56,43,0,19.3,48.8,6,14,Jiri Hudler,16,0,13,1
0,4,24,61,23,PIT,R,48,208,17:34,24,0,11.5,28.6,6,38,Patric Hornqvist,15,0,13,1
0,3,15,79,22,NSH,C,61,93,18:43,46,0,16.1,43.3,1,52,Mike Ribeiro,12,0,13,0
